#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.009252697477405326	0.0025582519008853556
Gruppioni_et_al_2013	0.0	0.3	0.02485523087671405	0.01228495583330738
Gruppioni_et_al_2013	0.3	0.45	0.03708710495092516	0.0037221167343706343
Gruppioni_et_al_2013	0.45	0.6	0.04729503545127765	0.0064033966151334784
Gruppioni_et_al_2013	0.6	0.8	0.06935281982179546	0.01086555602408229
Gruppioni_et_al_2013	0.8	1.0	0.11348481689995309	0.016943691633768344
Gruppioni_et_al_2013	1.0	1.2	0.15263334427488998	0.019843086783618128
Gruppioni_et_al_2013	1.2	1.7	0.14223417807626543	0.016369089459421053
Gruppioni_et_al_2013	1.7	2.0	0.09612158896982038	0.009527566653013637
Gruppioni_et_al_2013	2.0	2.5	0.12272476422096665	0.032933368056044486
Gruppioni_et_al_2013	2.5	3.0	0.15126586498105435	0.07092441958710369
Gruppioni_et_al_2013	3.0	4.2	0.0601516955214816	0.05471107154680542
Gruppioni_et_al_2020	0.5	1.5	0.08664517795803546	0.04505
Gruppioni_et_al_2020	1.5	2.5	0.09719406012903935	0.0688
Gruppioni_et_al_2020	2.5	3.5	0.16226095850434857	0.05115
Gruppioni_et_al_2020	3.5	4.5	0.07963182273255448	0.0309
Gruppioni_et_al_2020	4.5	6.0	0.06443560528103243	0.06305
Koprowski_et_al_2017	0.5	1.5	0.008814629533593868	0.007113277571720583
Koprowski_et_al_2017	1.5	2.5	0.00779724002977605	0.0014759003314016863
Koprowski_et_al_2017	2.5	3.5	0.002771096304626923	0.0010044292038695914
Koprowski_et_al_2017	3.5	4.5	0.0007881491739077815	0.0006972602787574248
Lim_et_al_2020	0.5	1.3	0.11838331081177987	0.13566756998333762
Lim_et_al_2020	1.3	2.5	0.38770890941318475	0.4606394562068129
Wang_et_al_2019	0.0	0.3	0.023874732235397066	0.005462550101013264
Wang_et_al_2019	0.3	0.45	0.044192237338087005	0.009486357197232231
Wang_et_al_2019	0.45	0.6	0.055903464153879784	0.014010921119086306
Wang_et_al_2019	0.6	0.8	0.08841545521986562	0.01424191833709021
Wang_et_al_2019	0.8	1.0	0.14012905308631543	0.03382770231679233
Wang_et_al_2019	1.0	1.2	0.15610058920622402	0.03181176523013107
Wang_et_al_2019	1.2	1.7	0.1755732663174034	0.04316422807039755
Wang_et_al_2019	1.7	2.0	0.11884113033556777	0.04680823968288639
Wang_et_al_2019	2.0	2.5	0.11657140154093314	0.03681657057441767
Wang_et_al_2019	2.5	3.0	0.1161665531434194	0.0481002376534202
Wang_et_al_2019	3.0	4.2	0.0637134985962156	0.012642444338258119
Wang_et_al_2019	4.2	5.0	0.040760470730593586	0.01796560244211498
Wang_et_al_2019	5.0	6.0	0.029730790246333485	0.17934691163269068
