#Name_of_the_paper	Z_up	Z_down	SFRD
Takeuchi_et_al_2003	0.03	0.0	0.01062672139395402
Gruppioni_et_al_2013	0.0	0.3	0.024841357325459796
Gruppioni_et_al_2013	0.3	0.45	0.037932785249140434
Gruppioni_et_al_2013	0.45	0.6	0.047866169382268696
Gruppioni_et_al_2013	0.6	0.8	0.06952257400522277
Gruppioni_et_al_2013	0.8	1.0	0.1126992469396846
Gruppioni_et_al_2013	1.0	1.2	0.15151846129913915
Gruppioni_et_al_2013	1.2	1.7	0.140914398242444
Gruppioni_et_al_2013	1.7	2.0	0.09501343244872662
Gruppioni_et_al_2013	2.0	2.5	0.1208049185700452
Gruppioni_et_al_2013	2.5	3.0	0.14959561950454864
Gruppioni_et_al_2013	3.0	4.2	0.05862320378427848
