#Name_of_the_paper	Z_up	Z_down	SFRD
Cucciati_et_al._2012	0.05	0.2	0.006148254631027746
Cucciati_et_al._2012	0.2	0.4	0.007761031045705102
Cucciati_et_al._2012	0.4	0.6	0.00761482642225064
Cucciati_et_al._2012	0.6	0.8	0.009308887530617111
Cucciati_et_al._2012	0.8	1.0	0.012517255781709842
Cucciati_et_al._2012	1.0	1.2	0.014043189143171245
Cucciati_et_al._2012	1.2	1.7	0.014616022071515564
Cucciati_et_al._2012	1.7	2.5	0.02874590118203776
Cucciati_et_al._2012	2.5	3.5	0.022363593597837548
Cucciati_et_al._2012	3.5	4.5	0.00807720436722294
Schiminovich_et_al._2005	0.2	0.4	0.007706283323442402
Schiminovich_et_al._2005	0.4	0.6	0.008478781093349406
Schiminovich_et_al._2005	0.6	0.8	0.012285934153647088
Schiminovich_et_al._2005	0.8	1.2	0.011400499293967277
Robotham_and_Driver_2011	0.05	0.0	0.0017633074448104773
Reddy_and_Steidel_2009	1.9	2.7	0.050288852651851006
Reddy_and_Steidel_2009	2.7	3.4	0.04035669838449491
Schenker_et_al._2013	7.0	0.0	0.011249819715447132
Schenker_et_al._2013	8.0	0.0	0.009099327885106073
Bouwens_et_al._2021	2.1	2.1	0.0379175452712085
Bouwens_et_al._2021	2.9	2.9	0.03820217921114722
Bouwens_et_al._2021	3.8	3.8	0.036043616404493405
Bouwens_et_al._2021	4.9	4.9	0.021186394565390194
Bouwens_et_al._2021	5.9	5.9	0.01575753797156161
Bouwens_et_al._2021	6.8	6.8	0.009088930977490391
Bouwens_et_al._2021	7.9	7.9	0.005027413433077848
Bouwens_et_al._2021	8.9	8.9	0.0017211893962573103
Wyder_et_al._2005	0.0	0.1	0.003900378305171036
Bouwens_et_al._2012	4.0	4.0	0.030811241409144003
Bouwens_et_al._2012	5.0	5.0	0.02605801242272318
Bouwens_et_al._2012	6.0	6.0	0.019485823056849014
Bouwens_et_al._2012	7.0	7.0	0.015098783768002576
Bouwens_et_al._2012	8.0	8.0	0.009210360413357826
Dahlen_et_al._2007	0.92	1.33	0.014574628155333325
Dahlen_et_al._2007	1.62	1.88	0.028359138327987105
Dahlen_et_al._2007	2.08	2.37	0.02084961511733236
