#Name_of_the_paper	Z_up	Z_down	SFRD
Cucciati_et_al._2012	0.05	0.2	0.017090384971430318
Cucciati_et_al._2012	0.2	0.4	0.026919459222511145
Cucciati_et_al._2012	0.4	0.6	0.03446989930507492
Cucciati_et_al._2012	0.6	0.8	0.054533887560654186
Cucciati_et_al._2012	0.8	1.0	0.0965971735265603
Cucciati_et_al._2012	1.0	1.2	0.10723956124161181
Cucciati_et_al._2012	1.2	1.7	0.10836860667619894
Cucciati_et_al._2012	1.7	2.5	0.1716189110630127
Cucciati_et_al._2012	2.5	3.5	0.08665247918286904
Cucciati_et_al._2012	3.5	4.5	0.019779573728962534
Schiminovich_et_al._2005	0.2	0.4	0.04039166377589378
Schiminovich_et_al._2005	0.4	0.6	0.0443895019038268
Schiminovich_et_al._2005	0.6	0.8	0.06504875838253091
Schiminovich_et_al._2005	0.8	1.2	0.05972347075525748
Robotham_and_Driver_2011	0.05	0.0	0.007489774742132604
Reddy_and_Steidel_2009	1.9	2.7	0.17594981029559556
Reddy_and_Steidel_2009	2.7	3.4	0.10791367247728965
Schenker_et_al._2013	7.0	0.0	0.012227856892848504
Schenker_et_al._2013	8.0	0.0	0.009188467425108664
Bouwens_et_al._2021	2.1	2.1	0.03789997808520256
Bouwens_et_al._2021	2.9	2.9	0.038196094562750686
Bouwens_et_al._2021	3.8	3.8	0.03603334490506968
Bouwens_et_al._2021	4.9	4.9	0.021216213718590993
Bouwens_et_al._2021	5.9	5.9	0.015765109616207224
Bouwens_et_al._2021	6.8	6.8	0.00909393884822239
Bouwens_et_al._2021	7.9	7.9	0.0050132325768104165
Bouwens_et_al._2021	8.9	8.9	0.0017211893962573103
Wyder_et_al._2005	0.0	0.1	0.020463882798476548
Bouwens_et_al._2012	4.0	4.0	0.05249476944475812
Bouwens_et_al._2012	5.0	5.0	0.03881831136962735
Bouwens_et_al._2012	6.0	6.0	0.023381675140714507
Bouwens_et_al._2012	7.0	7.0	0.01660880731359514
Bouwens_et_al._2012	8.0	8.0	0.009226607422470105
Dahlen_et_al._2007	0.92	1.33	0.09454371316775331
Dahlen_et_al._2007	1.62	1.88	0.18376524607537445
Dahlen_et_al._2007	2.08	2.37	0.1351170049507751
