#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010707063715217426	0.00262892405466036
Gruppioni_et_al_2013	0.0	0.3	0.025881545283752933	0.012553407340283287
Gruppioni_et_al_2013	0.3	0.45	0.03793987427938655	0.0037399375569315196
Gruppioni_et_al_2013	0.45	0.6	0.04795731051063064	0.006472296295673814
Gruppioni_et_al_2013	0.6	0.8	0.06944339793125584	0.010795566447429029
Gruppioni_et_al_2013	0.8	1.0	0.11298117878472913	0.016828488311548304
Gruppioni_et_al_2013	1.0	1.2	0.15156589920557662	0.019841886621121674
Gruppioni_et_al_2013	1.2	1.7	0.14102722772797815	0.01627755679695931
Gruppioni_et_al_2013	1.7	2.0	0.09503551003038414	0.009392356251669289
Gruppioni_et_al_2013	2.0	2.5	0.12021070985188187	0.03198869153778228
Gruppioni_et_al_2013	2.5	3.0	0.14978781950129935	0.07134468469371771
Gruppioni_et_al_2013	3.0	4.2	0.05777083089716208	0.05366762523283677
Gruppioni_et_al_2020	0.5	1.5	0.11795260130004444	0.11406505328838035
Gruppioni_et_al_2020	1.5	2.5	0.11996234171899252	0.09570444876211567
Gruppioni_et_al_2020	2.5	3.5	0.17550352206884345	0.08576482001886268
Gruppioni_et_al_2020	3.5	4.5	0.2679546573661793	1.045318301172772
Gruppioni_et_al_2020	4.5	6.0	0.5614317561249496	10.18937779992523
Koprowski_et_al_2017	0.5	1.5	0.00889309880362406	0.007209242387944332
Koprowski_et_al_2017	1.5	2.5	0.007813101552902905	0.0014599306571442146
Koprowski_et_al_2017	2.5	3.5	0.0027807199060856597	0.0010125877432968094
Koprowski_et_al_2017	3.5	4.5	0.0007657076102355697	0.0007124915038558317
#Magnelli_et_al_2019	3.9	3.9	0.0030487685204502878	0.000001
Lim_et_al_2020	0.5	1.3	0.11568722295652578	0.1332720291768137
Lim_et_al_2020	1.3	2.5	0.3785671812556606	0.49748215098934495
Lim_et_al_2020	2.5	4.0	1.6896044843564553	5.832524687183659
Wang_et_al_2019	0.0	0.3	0.12374099936947698	0.4405307939119887
Wang_et_al_2019	0.3	0.45	0.1902549514524758	0.5512530572276639
Wang_et_al_2019	0.45	0.6	0.20007463779634382	0.52701449149387
Wang_et_al_2019	0.6	0.8	0.29373761919869523	0.6852698124372857
Wang_et_al_2019	0.8	1.0	0.4916721225895084	1.2162037818219762
Wang_et_al_2019	1.0	1.2	0.456670564483813	0.9368178908899751
Wang_et_al_2019	1.2	1.7	0.4752407805009302	0.8878761985839999
Wang_et_al_2019	1.7	2.0	0.32940930358431136	0.6272910077330209
Wang_et_al_2019	2.0	2.5	0.2521398235302186	0.3867286819363694
Wang_et_al_2019	2.5	3.0	0.2605928572089039	0.40476376301132666
Wang_et_al_2019	3.0	4.2	0.14882062092878234	0.25529270387429986
Wang_et_al_2019	4.2	5.0	0.23467526015166904	0.9255752913895638
Wang_et_al_2019	5.0	6.0	0.13474469914109122	0.4461879165410738
