#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Wang_et_al_2019	0.0	0.3	0.12374099936947698	0.4405307939119887
Wang_et_al_2019	0.3	0.45	0.1902549514524758	0.5512530572276639
Wang_et_al_2019	0.45	0.6	0.20007463779634382	0.52701449149387
Wang_et_al_2019	0.6	0.8	0.29373761919869523	0.6852698124372857
Wang_et_al_2019	0.8	1.0	0.4916721225895084	1.2162037818219762
Wang_et_al_2019	1.0	1.2	0.456670564483813	0.9368178908899751
Wang_et_al_2019	1.2	1.7	0.4752407805009302	0.8878761985839999
Wang_et_al_2019	1.7	2.0	0.32940930358431136	0.6272910077330209
Wang_et_al_2019	2.0	2.5	0.2521398235302186	0.3867286819363694
Wang_et_al_2019	2.5	3.0	0.2605928572089039	0.40476376301132666
Wang_et_al_2019	3.0	4.2	0.14882062092878234	0.25529270387429986
Wang_et_al_2019	4.2	5.0	0.23467526015166904	0.9255752913895638
Wang_et_al_2019	5.0	6.0	0.13474469914109122	0.4461879165410738
